AltComp.Header,組成
AltComp.NoAtmosphere,大気なし
AltComp.Label.O2,O₂
AltComp.Label.CO2,CO₂
AltComp.Label.N2Ar,N₂+Ar
AltComp.Ideal.Range,理想: {0} – {1} atm
AltComp.Ideal.Less,理想: < {0} atm
AltComp.Ideal.EqLess,理想: < {0} atm相当
AltComp.Rating.O2.Dangerous,危険
AltComp.Rating.O2.Poor,不良
AltComp.Rating.O2.Marginal,限界
AltComp.Rating.O2.Good,良好
AltComp.Rating.O2.Optimal,最適
AltComp.Rating.O2.Elevated,高濃度
AltComp.Rating.O2.Toxic,有毒
AltComp.Rating.O2.Lethal,致死
AltComp.Rating.CO2.Safe,安全
AltComp.Rating.CO2.Elevated,高濃度
AltComp.Rating.CO2.Poor,不良
AltComp.Rating.CO2.Hazardous,有害
AltComp.Rating.CO2.Dangerous,危険
AltComp.Rating.CO2.Lethal,致死
AltComp.Rating.Narc.Safe,安全
AltComp.Rating.Narc.Mild,軽度
AltComp.Rating.Narc.Moderate,中度
AltComp.Rating.Narc.Severe,重度
AltComp.Rating.Narc.Incapacitating,無力化
AltComp.Equip.Breathable,呼吸可能
AltComp.Equip.O2MaskRec,酸素マスク推奨
AltComp.Equip.O2MaskReq,酸素マスク必須
AltComp.Equip.AirProcRec,空気処理推奨
AltComp.Equip.AirProcReq,空気処理必須
AltComp.Equip.SuitBreathable,宇宙服 — 混合気は呼吸可能
AltComp.Equip.SuitAirProc,宇宙服 + 空気処理
AltComp.Equip.SuitSupplied,宇宙服 + 供給空気
AltComp.Equip.ClosedCircuit,閉鎖式生命維持
AltComp.Score,スコア: {0}%
AltComp.ScoreHint,— {0}
AltComp.Unit.Atm,atm
AltComp.Unit.AtmEq,atm相当
AltComp.Unit.Pct,%
AltComp.Format.PpLine,{0} {1} ({2}{3})  {4}
